H_estimate,H_error,mu,sigma,T
-0.44145,0.000392418,0.787654,0.637212,0.001
-0.44075,0.000395299,0.787028,0.635818,0.001
-0.441711,0.000387077,0.787034,0.635554,0.001
-0.441544,0.000396155,0.788073,0.636676,0.001
-0.440774,0.000396795,0.786794,0.635871,0.001
-0.441222,0.000378228,0.786294,0.63613,0.001
-0.441389,0.000374609,0.785031,0.634125,0.001
-0.441636,0.000379091,0.785031,0.634125,0.001
-0.440811,0.000389543,0.783844,0.636422,0.001
-0.441095,0.000386773,0.784841,0.635689,0.001
-0.441105,0.00037885,0.783022,0.636192,0.001
-0.440371,0.000396969,0.782079,0.634259,0.001
-0.440806,0.000389112,0.781226,0.635113,0.001
-0.441406,0.000364594,0.781226,0.635113,0.001
-0.441422,0.000382316,0.782671,0.632959,0.001
-0.44296,0.00035982,0.783544,0.632063,0.001
-0.441265,0.000376002,0.783002,0.630923,0.001
-0.441953,0.000365943,0.781685,0.631132,0.001
-0.44156,0.000363451,0.781235,0.631368,0.001
-0.440912,0.000380763,0.780954,0.63225,0.001
-0.441192,0.000372477,0.780109,0.631095,0.001
-0.441813,0.000380464,0.780754,0.630424,0.001
-0.442063,0.000362624,0.782795,0.629097,0.001
-0.442,0.000357458,0.780126,0.628721,0.001
-0.441828,0.000363131,0.777927,0.629123,0.001
-0.442292,0.000353044,0.777088,0.629594,0.001
-0.441469,0.000352323,0.775073,0.630127,0.001
-0.441207,0.000369492,0.775073,0.630127,0.001
-0.441076,0.000361907,0.775507,0.632005,0.001
-0.440354,0.000365185,0.775507,0.632005,0.001
-0.441105,0.000354815,0.775655,0.63089,0.001
-0.440958,0.000365439,0.775655,0.63089,0.001
-0.441297,0.000371486,0.777823,0.630516,0.001
-0.441215,0.000364023,0.779276,0.631623,0.001
-0.441143,0.000369786,0.779327,0.631534,0.001
-0.441236,0.00037177,0.780101,0.633087,0.001
-0.441813,0.000376927,0.78075,0.632577,0.001
-0.44103,0.000368742,0.779825,0.633396,0.001
-0.440281,0.000379842,0.779299,0.634746,0.001
-0.439917,0.000384547,0.77999,0.635657,0.001
-0.439909,0.000381591,0.779041,0.636468,0.001
-0.440227,0.000367538,0.778876,0.635906,0.001
-0.440747,0.000371006,0.779589,0.633473,0.001
-0.44102,0.000373667,0.779984,0.633046,0.001
-0.441072,0.000384228,0.779815,0.63461,0.001
-0.439944,0.000389116,0.778275,0.636291,0.001
-0.440121,0.000377867,0.777061,0.635807,0.001
-0.441035,0.000371971,0.7778,0.634893,0.001
-0.440555,0.000381657,0.777031,0.635645,0.001
-0.439759,0.000387249,0.778295,0.635934,0.001
-0.439938,0.000379204,0.77685,0.636326,0.001
-0.440528,0.000367282,0.77754,0.634595,0.000988496
-0.440746,0.000375207,0.77754,0.634595,0.000988496
-0.441175,0.000367689,0.778252,0.633977,0.000988496
-0.440759,0.000376995,0.778251,0.633826,0.000988496
-0.441283,0.000367961,0.778251,0.633826,0.000988496
-0.441112,0.000367431,0.777858,0.631316,0.000988496
-0.441962,0.000365251,0.77934,0.631323,0.000988496
-0.44154,0.000367522,0.778662,0.632411,0.000988496
-0.440297,0.000383129,0.779855,0.632883,0.000988496
-0.441623,0.000370571,0.779855,0.632883,0.000988496
-0.440982,0.00037356,0.778341,0.632736,0.000988496
-0.441816,0.000362463,0.779187,0.631959,0.000988496
-0.441246,0.000372311,0.779711,0.632478,0.000988496
-0.440598,0.000382081,0.77846,0.633859,0.000988496
-0.440759,0.000367152,0.778908,0.634379,0.000988496
-0.440138,0.000391217,0.77824,0.635562,0.000988496
-0.440497,0.000379688,0.777597,0.634214,0.000988496
-0.440334,0.000400128,0.778549,0.634249,0.000988496
-0.43985,0.000381028,0.775628,0.635173,0.000988496
-0.440725,0.000358358,0.77496,0.633281,0.000988496
-0.43978,0.000371857,0.776312,0.632494,0.000988496
-0.441635,0.000356184,0.776704,0.632815,0.000988496
-0.440547,0.000365342,0.776704,0.632815,0.000988496
-0.441008,0.000365066,0.776704,0.632815,0.000988496
-0.440603,0.000374059,0.777131,0.634088,0.000988496
-0.439785,0.000392685,0.777561,0.635596,0.000988496
-0.440267,0.000372847,0.778383,0.634755,0.000988496
-0.440836,0.000370889,0.777544,0.634243,0.000988496
-0.439993,0.000370629,0.777543,0.633577,0.000988496
-0.441315,0.000368007,0.777543,0.633577,0.000988496
-0.440767,0.000378666,0.777211,0.633602,0.000988496
-0.440098,0.000373072,0.776065,0.633152,0.000988496
-0.440788,0.000369522,0.775528,0.632437,0.000988496
-0.440953,0.000358932,0.776908,0.631895,0.000988496
-0.441607,0.000358554,0.776908,0.631895,0.000988496
-0.441186,0.000366965,0.778276,0.632204,0.000988496
-0.441019,0.000372133,0.779997,0.633329,0.000988496
-0.440961,0.000378228,0.780777,0.634524,0.000988496
-0.440889,0.000386318,0.780777,0.634524,0.000988496
-0.441476,0.000367786,0.780777,0.634524,0.000988496
-0.441154,0.000376156,0.780834,0.635153,0.000988496
-0.440889,0.000378162,0.781049,0.634014,0.000988496
-0.441707,0.000368029,0.780321,0.633017,0.000988496
-0.440257,0.00038844,0.780039,0.63527,0.000988496
-0.440422,0.000387802,0.779896,0.634476,0.000988496
-0.440204,0.000382136,0.780114,0.63639,0.000988496
-0.439823,0.000388726,0.780581,0.636048,0.000988496
-0.441233,0.000374857,0.779757,0.635407,0.000988496
-0.440541,0.000369601,0.779851,0.636022,0.000988496
-0.441115,0.000381502,0.782076,0.635869,0.000988496
-0.441054,0.000380001,0.782587,0.63532,0.000977124
-0.441089,0.000373723,0.782737,0.635915,0.000977124
-0.440744,0.000397608,0.784375,0.637331,0.000977124
-0.440877,0.000384415,0.784375,0.637331,0.000977124
-0.440624,0.000390394,0.783912,0.637598,0.000977124
-0.441102,0.000387874,0.784072,0.636858,0.000977124
-0.440762,0.000386145,0.784072,0.636858,0.000977124
-0.441182,0.000388655,0.783442,0.636153,0.000977124
-0.440779,0.00038635,0.782424,0.636854,0.000977124
-0.440926,0.000380501,0.782194,0.635431,0.000977124
-0.440732,0.000380365,0.781274,0.637724,0.000977124
-0.440767,0.000383276,0.781791,0.637772,0.000977124
-0.440222,0.000398322,0.78233,0.638521,0.000977124
-0.440351,0.000393361,0.780117,0.638219,0.000977124
-0.439994,0.000392706,0.779915,0.638318,0.000977124
-0.440102,0.000386978,0.780636,0.636994,0.000977124
-0.440283,0.000379613,0.779471,0.636012,0.000977124
-0.440168,0.000375008,0.776934,0.636462,0.000977124
-0.439783,0.000387836,0.777978,0.636309,0.000977124
-0.44025,0.000376882,0.778883,0.637296,0.000977124
-0.440025,0.00037948,0.779372,0.638234,0.000977124
-0.440009,0.000383771,0.780346,0.637109,0.000977124
-0.440526,0.000387664,0.780338,0.637107,0.000977124
-0.440103,0.000395668,0.780635,0.636259,0.000977124
-0.440562,0.000376498,0.781644,0.637359,0.000977124
-0.440272,0.000385184,0.781841,0.638439,0.000977124
-0.440231,0.000381703,0.781841,0.638439,0.000977124
-0.440079,0.000388282,0.781841,0.638439,0.000977124
-0.440275,0.000389375,0.782942,0.637938,0.000977124
-0.439856,0.000387688,0.78208,0.637245,0.000977124
-0.439753,0.000396575,0.783865,0.639344,0.000977124
-0.439835,0.000405689,0.783433,0.639022,0.000977124
-0.440135,0.000410309,0.78329,0.638073,0.000977124
-0.440051,0.00039674,0.784203,0.638314,0.000977124
-0.439843,0.000396657,0.783111,0.639183,0.000977124
-0.440668,0.000378908,0.782432,0.637123,0.000977124
-0.440485,0.000393205,0.781453,0.636817,0.000977124
-0.441176,0.000367757,0.781401,0.635933,0.000977124
-0.44097,0.00037951,0.782582,0.635434,0.000977124
-0.441472,0.000371878,0.783204,0.635251,0.000977124
-0.44097,0.000384181,0.783204,0.635251,0.000977124
-0.440405,0.000394723,0.782492,0.635098,0.000977124
-0.440964,0.000375906,0.78321,0.635917,0.000977124
-0.440895,0.000392984,0.78321,0.635917,0.000977124
-0.440969,0.000394377,0.78256,0.63619,0.000977124
-0.440985,0.000395486,0.782542,0.634509,0.000977124
-0.440699,0.000387101,0.782542,0.634509,0.000977124
-0.440681,0.000386113,0.782542,0.634509,0.000977124
-0.440946,0.000381127,0.782407,0.634619,0.000977124
-0.441592,0.000376364,0.78455,0.63523,0.000977124
-0.441107,0.000383874,0.784753,0.636487,0.000965883
-0.440708,0.000386611,0.784192,0.637374,0.000965883
-0.440885,0.000384869,0.784899,0.637473,0.000965883
-0.440674,0.000379317,0.784166,0.637377,0.000965883
-0.440938,0.000387909,0.784166,0.637377,0.000965883
-0.440444,0.000393854,0.784166,0.637377,0.000965883
-0.440836,0.000392402,0.784166,0.637377,0.000965883
-0.440234,0.000393569,0.784471,0.640174,0.000965883
-0.440121,0.000384272,0.784471,0.640174,0.000965883
-0.440761,0.000387124,0.785098,0.637681,0.000965883
-0.440679,0.00037888,0.783564,0.636103,0.000965883
-0.44077,0.000381219,0.783167,0.636712,0.000965883
-0.440674,0.000400532,0.783185,0.635825,0.000965883
-0.440644,0.000396224,0.784266,0.637516,0.000965883
-0.44047,0.000400549,0.784293,0.638358,0.000965883
-0.440411,0.000390444,0.785109,0.639681,0.000965883
-0.440185,0.000410449,0.785109,0.639681,0.000965883
-0.440407,0.000386651,0.784968,0.63898,0.000965883
-0.439751,0.000400946,0.786667,0.639931,0.000965883
-0.439425,0.000410632,0.785541,0.641434,0.000965883
-0.43943,0.000413645,0.786524,0.642734,0.000965883
-0.440075,0.00039372,0.784135,0.641903,0.000965883
-0.438745,0.000413535,0.784262,0.643122,0.000965883
-0.439539,0.000397812,0.784744,0.643288,0.000965883
-0.438241,0.000413415,0.78376,0.644193,0.000965883
-0.438561,0.000408714,0.785198,0.643768,0.000965883
