H_estimate,H_error
-0.424254,0
-0.453363,0.029109
-0.430851,0.0280935
-0.439426,0.021637
-0.442384,0.0170189
-0.447389,0.0147698
-0.442373,0.013453
-0.445129,0.0119723
-0.450356,0.0117815
-0.452737,0.0108033
-0.455628,0.0101907
-0.437288,0.0205642
-0.439194,0.0190122
-0.43268,0.0187687
-0.429598,0.0177424
-0.427671,0.0167081
-0.428483,0.0157155
-0.429707,0.0148672
-0.437192,0.015931
-0.441031,0.0155935
-0.440426,0.0148448
-0.442962,0.0143793
-0.447164,0.0143682
-0.446514,0.0137718
-0.442701,0.0137488
-0.440358,0.0134156
-0.444726,0.0136281
-0.443722,0.0131707
-0.444091,0.0127138
-0.446013,0.0124322
-0.446705,0.0120444
-0.44907,0.0118992
-0.448264,0.0115611
-0.447898,0.0112219
-0.449938,0.0110859
-0.450162,0.0107758
-0.450905,0.0105069
-0.449404,0.0103362
-0.451148,0.0102177
-0.44835,0.0103446
-0.449711,0.0101806
-0.449986,0.00993904
-0.450384,0.00971329
-0.450794,0.0094988
-0.453827,0.00976825
-0.453438,0.00956146
-0.453329,0.00935644
-0.453158,0.00916105
-0.453403,0.00897551
-0.452199,0.00887621
-0.452694,0.00871448
-0.455324,0.00894074
-0.455655,0.00877667
-0.455945,0.0086175
-0.454773,0.00854016
-0.454694,0.00838665
-0.453957,0.00827114
-0.45335,0.00814993
-0.45408,0.00804381
-0.453237,0.00795339
-0.452022,0.00791578
-0.451665,0.00779523
-0.451478,0.00767277
-0.45181,0.00755922
-0.451117,0.00747424
-0.451777,0.00738961
-0.45146,0.00728536
-0.450682,0.00721944
-0.45098,0.00712027
-0.452238,0.00712967
-0.448178,0.00811687
-0.44829,0.00800413
-0.448807,0.00791066
-0.447697,0.00788168
-0.449062,0.0078949
-0.449599,0.00780879
-0.450074,0.00772133
-0.449801,0.00762657
-0.450788,0.00759375
-0.452063,0.00760588
-0.450643,0.00764446
-0.451084,0.00756352
-0.451691,0.0074965
-0.45186,0.00740865
-0.451534,0.00732825
-0.450986,0.00726321
-0.45085,0.00718053
-0.450435,0.00711059
-0.4506,0.00703218
-0.4508,0.00695648
-0.450094,0.00691582
-0.449899,0.00684301
-0.450632,0.0068086
-0.450478,0.00673754
-0.450392,0.0066668
-0.449111,0.00672014
-0.448882,0.00665444
-0.448911,0.00658625
-0.449459,0.00654231
-0.44928,0.006479
-0.449526,0.00641925
-0.4469,0.00687727
-0.447319,0.00682309
-0.446737,0.00678218
-0.447116,0.0067279
-0.447281,0.00666618
-0.447776,0.00662212
-0.446987,0.00660779
-0.446436,0.00657003
-0.446125,0.00651747
-0.44624,0.00645951
-0.445521,0.00644186
-0.444846,0.00642018
-0.444331,0.00638438
-0.443975,0.00633861
-0.443357,0.00631404
-0.443374,0.00625986
-0.443187,0.0062094
-0.443766,0.00618416
-0.444095,0.00614126
-0.442581,0.00627576
-0.443216,0.00625643
-0.443201,0.00620537
-0.444226,0.00623992
-0.444558,0.00619868
-0.444556,0.00614929
-0.444142,0.00611475
-0.444285,0.00606849
-0.444344,0.00602155
-0.444378,0.00597514
-0.444813,0.00594534
-0.443604,0.00602273
-0.443805,0.00598063
-0.443979,0.00593839
-0.444308,0.00590344
-0.444081,0.00586428
-0.444208,0.0058227
-0.444407,0.00578379
-0.444547,0.00574374
-0.444881,0.00571234
-0.444935,0.00567193
-0.445038,0.00563279
-0.445494,0.00561186
-0.44577,0.00557957
-0.445554,0.00554514
-0.44584,0.00551442
-0.445958,0.00547806
-0.445865,0.00544172
-0.446649,0.00546158
-0.446594,0.00542533
-0.446758,0.00539178
-0.446619,0.005358
-0.44638,0.00532821
-0.446199,0.0052966
-0.446637,0.00528052
-0.446917,0.00525399
-0.446833,0.00522109
-0.446674,0.00519037
-0.445973,0.00520508
-0.445196,0.00523047
-0.445312,0.00519919
-0.445627,0.00517654
-0.446132,0.00516941
-0.446699,0.00516905
-0.447572,0.00521123
-0.447649,0.00518031
-0.447769,0.00515061
-0.448666,0.00519772
-0.448548,0.00516821
-0.449715,0.00526862
-0.450005,0.00524573
-0.450328,0.00522514
-0.450702,0.00520833
-0.45011,0.00521213
-0.450545,0.00520053
-0.450962,0.00518768
-0.451325,0.00517101
-0.451583,0.00514837
-0.450767,0.0051842
-0.450961,0.005159
-0.450899,0.00513081
-0.451303,0.00511853
-0.450932,0.00510396
-0.451205,0.00508345
-0.451467,0.0050627
-0.451853,0.00505017
-0.451862,0.00502309
-0.451862,0.0049963
-0.451804,0.00497015
-0.451984,0.00494722
-0.452328,0.00493325
-0.452604,0.00491525
-0.45312,0.00491678
-0.453576,0.00491261
-0.453494,0.00488803
-0.453739,0.00486919
-0.453329,0.00486174
-0.453296,0.00483724
-0.453574,0.00482087
-0.453525,0.00479695
-0.453615,0.00477387
-0.453483,0.004752
-0.452897,0.00476466
-0.452991,0.00474217
-0.452557,0.00473889
-0.451603,0.00481138
-0.452193,0.00482436
-0.452338,0.00480327
-0.452024,0.00479048
-0.452297,0.00477539
-0.452471,0.0047559
-0.452127,0.00474589
-0.452172,0.00472378
-0.451421,0.00476129
-0.451234,0.00474279
-0.451256,0.00472083
-0.451109,0.00470132
-0.451259,0.00468213
-0.451185,0.00466129
-0.451746,0.00467379
-0.452208,0.00467549
-0.452685,0.00467882
-0.452774,0.00465863
-0.453009,0.00464374
-0.452982,0.00462314
-0.452745,0.00460873
-0.452553,0.00459237
-0.452758,0.00457678
-0.452481,0.00456517
-0.451879,0.00458503
-0.45181,0.00456566
-0.451656,0.00454855
-0.4518,0.00453128
-0.451665,0.0045139
-0.452133,0.00451901
-0.452212,0.0045005
-0.452396,0.00448527
-0.452402,0.00446639
-0.452431,0.00444776
-0.452558,0.00443101
-0.45225,0.0044233
-0.452159,0.00440594
-0.452196,0.00438793
-0.452306,0.00437129
-0.452384,0.00435411
-0.452324,0.0043368
-0.452514,0.00432339
-0.452695,0.00430972
-0.452407,0.004302
-0.452537,0.00428672
-0.452848,0.00428095
-0.452982,0.00426603
-0.452888,0.00425018
-0.452785,0.00423467
-0.452648,0.00422026
-0.452436,0.00420909
-0.452464,0.00419277
-0.452254,0.00418176
-0.452328,0.00416624
-0.452217,0.00415166
-0.452654,0.00415876
-0.452769,0.00414444
-0.452223,0.00416454
-0.4523,0.00414945
-0.452288,0.00413378
-0.452222,0.00411874
-0.452519,0.00411402
-0.452345,0.00410231
-0.451884,0.00411302
-0.451717,0.00410116
-0.45164,0.00408671
-0.451418,0.00407772
-0.451322,0.00406391
-0.451191,0.00405114
-0.451158,0.00403652
-0.451241,0.00402272
-0.451456,0.00401392
-0.451259,0.00400427
-0.451296,0.00399006
-0.45099,0.00398752
-0.451031,0.00397352
-0.450432,0.00400454
-0.45053,0.00399157
-0.450394,0.00397983
-0.449687,0.00402835
-0.44944,0.00402185
-0.449669,0.00401438
-0.449569,0.00400166
-0.449695,0.00398977
-0.449675,0.00397604
-0.450025,0.0039778
-0.44978,0.00397169
-0.448863,0.0040629
-0.448959,0.0040502
-0.448273,0.00409445
-0.448289,0.00408063
-0.44822,0.00406746
-0.448336,0.00405544
-0.448114,0.00404792
-0.447976,0.00403678
-0.448093,0.00402504
-0.447965,0.00401374
-0.448181,0.00400631
-0.448267,0.00399404
-0.44845,0.00398513
-0.44875,0.00398334
-0.448425,0.00398356
-0.448383,0.00397083
-0.448629,0.00396562
-0.448653,0.00395287
-0.448683,0.00394026
-0.4486,0.0039285
-0.448683,0.00391682
-0.448738,0.00390471
-0.44887,0.00389454
-0.44891,0.0038824
-0.449053,0.00387279
-0.449055,0.00386059
-0.449048,0.00384847
-0.449081,0.00383657
-0.449309,0.00383138
-0.449287,0.00381953
-0.449538,0.00381598
