block,mean_estimate,mean_error,variance_estimate,variance_error
0,0.501214,0,0.0832638,0
10000,0.502239,0.00102515,0.0838018,0.000538018
20000,0.500143,0.00217812,0.0834983,0.000434297
30000,0.500522,0.00158598,0.0834716,0.00030825
40000,0.501583,0.00162352,0.083479,0.000238881
50000,0.501892,0.00136107,0.083751,0.000334725
60000,0.502078,0.00116522,0.083762,0.000283108
70000,0.501896,0.00102536,0.0836932,0.000254628
80000,0.501367,0.0010477,0.0836221,0.00023557
90000,0.501438,0.000939773,0.0835406,0.000225906
100000,0.501204,0.000881482,0.0834496,0.00022366
110000,0.501002,0.000829777,0.0834267,0.000205454
120000,0.501198,0.000787986,0.0834814,0.000196727
130000,0.501178,0.000729791,0.0833753,0.000210783
140000,0.50097,0.000710709,0.0835257,0.000247244
150000,0.500629,0.000747126,0.0835141,0.000231563
160000,0.500749,0.000711967,0.083478,0.0002205
170000,0.500627,0.000682234,0.0834615,0.000208542
180000,0.500728,0.000653315,0.0834306,0.000199662
190000,0.500841,0.000629906,0.0835041,0.000203151
200000,0.500899,0.000602006,0.0835327,0.00019535
210000,0.500856,0.000575603,0.0835172,0.000186904
220000,0.500542,0.000633622,0.0835551,0.000182561
230000,0.500632,0.000613363,0.0835772,0.00017619
240000,0.500811,0.000614837,0.0835666,0.000169332
250000,0.500758,0.000593092,0.0835296,0.000166846
260000,0.50103,0.00063223,0.0835318,0.000160563
270000,0.501211,0.000635505,0.0835403,0.000154957
280000,0.501216,0.000613222,0.0835542,0.000150164
290000,0.501149,0.000596163,0.0836178,0.000158411
300000,0.501156,0.000576647,0.0835775,0.000158419
310000,0.501044,0.000569339,0.0835369,0.000158689
320000,0.500895,0.000571586,0.0835282,0.000154048
330000,0.500811,0.000560864,0.0835291,0.000149451
340000,0.500698,0.000556284,0.0835224,0.000145275
350000,0.500753,0.000543426,0.0835452,0.000143014
360000,0.500844,0.000536251,0.083499,0.000146582
370000,0.500838,0.000521983,0.0834776,0.000144255
380000,0.500927,0.000516244,0.083458,0.000141874
390000,0.50089,0.000504518,0.0834464,0.000138767
400000,0.500921,0.000493038,0.0834263,0.000136821
410000,0.500949,0.000481938,0.0834348,0.000133788
420000,0.500905,0.000472585,0.0834389,0.000130706
430000,0.500779,0.000478617,0.0834348,0.000127767
440000,0.500906,0.000484797,0.0834224,0.000125506
450000,0.50087,0.000475551,0.0834092,0.000123459
460000,0.500767,0.000476572,0.0833847,0.000123253
470000,0.50061,0.000492123,0.0833905,0.000120795
480000,0.50058,0.000482916,0.0833933,0.000118337
490000,0.5006,0.000473556,0.0834033,0.000116381
500000,0.500519,0.000471058,0.0833936,0.000114493
510000,0.50053,0.000462024,0.0833979,0.000112353
520000,0.500524,0.000453257,0.0833839,0.000111103
530000,0.500427,0.00045513,0.083367,0.00011033
540000,0.500456,0.000447673,0.0833907,0.000110864
550000,0.500468,0.000439787,0.0834022,0.000109481
560000,0.500461,0.000432058,0.0833859,0.000108773
570000,0.500454,0.000424603,0.0834037,0.00010834
580000,0.500478,0.000418006,0.0833993,0.000106575
590000,0.500454,0.000411678,0.0833938,0.000104932
600000,0.50039,0.000409921,0.0834035,0.000103654
610000,0.500353,0.000404884,0.0833957,0.000102267
620000,0.500303,0.000401587,0.0833884,0.000100892
630000,0.500273,0.000396368,0.0834056,0.000100788
640000,0.500216,0.000394439,0.0834162,9.97896e-05
650000,0.500221,0.000388448,0.0834016,9.93531e-05
660000,0.500193,0.000383589,0.0833988,9.78973e-05
670000,0.500247,0.000381699,0.083399,9.6447e-05
680000,0.500218,0.000377239,0.0833994,9.50401e-05
690000,0.500281,0.000377158,0.0833965,9.37191e-05
700000,0.500292,0.00037197,0.0833865,9.29246e-05
710000,0.500306,0.000367012,0.0833905,9.17114e-05
720000,0.50032,0.000362247,0.0833751,9.17439e-05
730000,0.500335,0.000357615,0.0833748,9.04964e-05
740000,0.500334,0.000352815,0.0833837,8.97315e-05
750000,0.500324,0.00034831,0.0834002,9.00714e-05
760000,0.500308,0.000344123,0.0834041,8.8979e-05
770000,0.500291,0.000340116,0.0833928,8.85544e-05
780000,0.500246,0.000338757,0.0833895,8.74909e-05
790000,0.500256,0.000334667,0.083389,8.63919e-05
800000,0.500268,0.000330706,0.0833747,8.6507e-05
810000,0.50023,0.00032883,0.0833692,8.56188e-05
820000,0.500198,0.000326396,0.0833722,8.46317e-05
830000,0.500161,0.00032467,0.0833663,8.3822e-05
840000,0.500109,0.000324987,0.0833714,8.2984e-05
850000,0.500071,0.000323451,0.0833833,8.28836e-05
860000,0.500102,0.000321286,0.0833755,8.22961e-05
870000,0.500101,0.000317617,0.0833924,8.30835e-05
880000,0.5001,0.000314029,0.0834067,8.33877e-05
890000,0.500059,0.000313251,0.0834106,8.25456e-05
900000,0.500129,0.000317696,0.0834047,8.18483e-05
910000,0.500126,0.000314238,0.083418,8.2041e-05
920000,0.500098,0.000312139,0.0834014,8.2837e-05
930000,0.500107,0.000308924,0.0834001,8.19608e-05
940000,0.500127,0.000306336,0.0833944,8.12942e-05
950000,0.500184,0.000308353,0.0833962,8.04643e-05
960000,0.500144,0.00030773,0.0834068,8.03272e-05
970000,0.500144,0.000304574,0.0834116,7.96483e-05
980000,0.500119,0.000302515,0.0834091,7.88798e-05
990000,0.500114,0.000299515,0.0834056,7.8165e-05
